split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,SVR,13,208.7704231241154,81.49202822852132,0.973349399111735,281.7939176472082,2399
test,SVR,14,219.6084929008183,94.04601033181638,0.9657726211796158,303.2395792438137,2293
test,SVR,15,226.02145765145755,106.91092984455129,0.9546626674523258,319.20549971785516,2189
test,SVR,16,225.96211941927956,112.79282046905222,0.951765536985059,318.9551138470692,2189
test,SVR,17,216.42837126880826,106.26417489610536,0.9627907273806791,305.44553018722,2189
test,SVR,18,207.7027773010297,90.21248758364,0.9722298013819868,283.40751104377176,2344
test,SVR,19,211.35264558086357,83.00339269819347,0.9726794366094971,285.25024030589395,2398
test,SVR,20,219.50162258110274,93.80059200999632,0.9657996850457313,303.0296564455347,2292
test,SVR,21,224.89210136327983,106.16828653874437,0.955115222386893,317.4789745760184,2188
test,SVR,22,224.259760233866,110.18099729254845,0.9524977876124974,316.50661451816825,2188
test,SVR,23,216.9161391281215,103.20306123297004,0.9626272945774671,306.2955667956838,2188
test,SVR,24,209.83078869757898,87.61418314037306,0.9716580105921325,286.5543529008717,2343
test,MLP,1,83.89529453809932,38.63231867021054,0.9956954227068066,112.9387619016625,2398
