model,horizon,RMSE,MAE,R2,daylight_RMSE
Random Forest,7,176.81992848481474,68.7735595703125,0.9808787107467651,238.87900637665922
Random Forest,8,191.58507207961168,82.80257415771484,0.9739471673965454,264.6947534425267
Random Forest,9,200.4761616907357,96.00016021728516,0.9643281102180481,283.4835891414175
Random Forest,10,200.38961074304726,101.08406066894531,0.9620668888092041,283.3610770730518
Random Forest,11,191.73989543128474,91.76831817626953,0.9708003997802734,271.1297832680873
Random Forest,12,181.88156130776423,76.36941528320312,0.9787096381187439,248.5252046448207
Random Forest,13,185.47954107191984,72.21520233154297,0.97896409034729,250.5296342875429
Random Forest,14,199.87754063425936,86.07759857177734,0.9716467261314392,276.152315873867
Random Forest,15,207.83113638240062,99.48356628417969,0.9616665840148926,293.8840385679358
Random Forest,16,206.1004855798501,103.47596740722656,0.959872305393219,291.43683653152016
Random Forest,17,195.72037411508796,93.3175277709961,0.969570517539978,276.7587933336536
Random Forest,18,182.40222123784568,76.2416763305664,0.9785832166671753,249.238057637673
Random Forest,19,185.59221090875553,71.9714584350586,0.9789334535598755,250.7303784072644
Random Forest,20,200.7167722345345,86.63973999023438,0.9714028835296631,277.37178907560155
Random Forest,21,210.54599779501865,101.53936767578125,0.9606590867042542,297.791020998787
Random Forest,22,210.7997883804678,106.67605590820312,0.9580287933349609,298.14998585024284
Random Forest,23,201.30738700430246,96.83514404296875,0.9678122997283936,284.72415378748605
Random Forest,24,189.03501866387086,80.0268325805664,0.976997435092926,258.363192158829
HistGradientBoosting,1,76.85392876872008,28.998397827148438,0.9963876605033875,103.82654367682187
HistGradientBoosting,2,115.37005254153914,51.6291389465332,0.9905526638031006,159.41011255367397
HistGradientBoosting,3,149.9200307664056,71.3690414428711,0.9800542593002319,212.03064894903756
HistGradientBoosting,4,168.34292335512652,80.4378433227539,0.9732336401939392,238.0650679173658
HistGradientBoosting,5,173.56567335953847,78.57859802246094,0.976073145866394,245.47360155931227
HistGradientBoosting,6,169.3867500536863,69.5900650024414,0.9815313220024109,231.47702538535006
HistGradientBoosting,7,175.57641120570554,68.76676940917969,0.9811466932296753,237.13758532758993
